=== ESTRUCTURA DE LA BASE DE DATOS NEXFILE ===


--- Tabla: activity_log ---
  id | int | NO | PRI | NULL | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  enabled | tinyint | YES |  | 1 | 
  UserId | int | NO | MUL | NULL | 
  UserEmail | varchar(255) | YES |  | NULL | 
  Action | varchar(100) | NO | MUL | NULL | 
  EntityType | varchar(50) | NO | MUL | NULL | 
  EntityId | int | NO | MUL | NULL | 
  EntityData | json | YES |  | NULL | 
  Description | text | YES |  | NULL | 
  IpAddress | varchar(45) | YES |  | NULL | 
  UserAgent | text | YES |  | NULL | 
  CreatedAt | timestamp | YES | MUL | CURRENT_TIMESTAMP | DEFAULT_GENERATED

--- Tabla: agency ---
  id | bigint | NO | PRI | NULL | 
  name | varchar(600) | YES | UNI | NULL | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  enabled | tinyint | YES |  | 0 | 
  id_agency_dms | varchar(50) | YES |  | NULL | 
  id_company | bigint | YES |  | NULL | 

--- Tabla: agency_user ---
  id_user | bigint | NO | MUL | NULL | 
  id_agency | bigint | NO | MUL | NULL | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  enabled | tinyint | YES |  | 1 | 

--- Tabla: client ---
  id | bigint | NO | PRI | NULL | 
  name | varchar(600) | YES |  | NULL | 
  last_name | varchar(50) | YES |  | NULL | 
  mother_last_name | varchar(50) | YES |  | NULL | 
  RFC | varchar(50) | YES | MUL | NULL | 
  CURP | varchar(50) | YES |  | NULL | 
  tel_number | varchar(50) | YES |  | NULL | 
  tel_number2 | varchar(50) | YES |  | NULL | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  enabled | tinyint | YES |  | 1 | 
  adviser | varchar(50) | YES |  | NULL | 
  email | varchar(50) | YES |  | NULL | 
  razon_social | varchar(500) | YES | UNI | NULL | 
  agency_origin | varchar(50) | YES |  | NULL | 

--- Tabla: client_dms_relation ---
  id | int | NO | PRI | NULL | 
  id_dms | varchar(50) | YES | MUL | NULL | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  enabled | tinyint | YES |  | 1 | 
  id_agency | bigint | YES | MUL | NULL | 
  id_client_header | bigint | NO | MUL | NULL | 

--- Tabla: client_header ---
  id | bigint | NO | PRI | NULL | 
  id_client | bigint | YES | MUL | NULL | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  enabled | tinyint | YES |  | 1 | 

--- Tabla: company ---
  id | int | NO | PRI | NULL | auto_increment
  name | varchar(100) | YES | UNI | NULL | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  enabled | tinyint | YES |  | 1 | 
  agency_connection | varchar(500) | YES |  | NULL | 

--- Tabla: configuration_process ---
  id | bigint | NO | PRI | NULL | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  enabled | tinyint | YES |  | 0 | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  id_customer_type | bigint | YES | MUL | 0 | 
  id_operation_type | bigint | YES | MUL | 0 | 
  id_agency | bigint | YES | MUL | 0 | 
  id_process | bigint | YES | MUL | 0 | 

--- Tabla: configuration_process_document_type ---
  id | int | NO | PRI | NULL | auto_increment
  id_document_type | bigint | NO | MUL | NULL | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  enabled | tinyint | YES |  | 1 | 
  id_configuration_process | bigint | NO | MUL | NULL | 

--- Tabla: customer_type ---
  id | bigint | NO | PRI | NULL | 
  name | varchar(600) | YES | UNI | NULL | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  enabled | tinyint | YES |  | 0 | 

--- Tabla: document_file_error ---
  id | int | NO | PRI | NULL | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  enabled | tinyint | YES |  | 1 | 
  description | varchar(500) | YES |  | NULL | 

--- Tabla: document_file_status ---
  id | int | NO | PRI | NULL | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  enabled | tinyint | YES |  | 1 | 
  name | varchar(500) | YES |  | NULL | 

--- Tabla: document_type ---
  id | bigint | NO | PRI | NULL | 
  name | varchar(600) | YES | UNI | NULL | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  enabled | tinyint | YES |  | 0 | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  req_expiration | tinyint | YES |  | 0 | 
  id_process_type | bigint | YES | MUL | 0 | 
  required | tinyint | YES |  | 1 | 
  id_sub_process | bigint | YES |  | 0 | 
  document_auto_upload | tinyint | YES |  | 1 | 
  available_to_client | tinyint | YES |  | 0 | 

--- Tabla: expedient ---
  id | bigint | NO | PRI | NULL | 
  id_client | bigint | YES | MUL | NULL | 
  id_order | bigint | YES | MUL | NULL | 
  id_customer_type | bigint | YES | MUL | NULL | 
  id_operation | bigint | YES | MUL | 0 | 
  id_process | bigint | YES | MUL | NULL | 
  registration_date | timestamp | YES | MUL | NULL | 
  update_date | timestamp | YES |  | NULL | 
  last_user_update | bigint | YES |  | 0 | 
  id_agency | bigint | YES | MUL | NULL | 
  id_seller | bigint | YES | MUL | NULL | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  enabled | tinyint | YES |  | 1 | 
  description | varchar(500) | YES |  | NULL | 
  id_current_state | int | YES | MUL | 0 | 
  id_order_total | varchar(50) | YES | MUL | NULL | 
  attention_date | date | YES |  | NULL | 
  close_date | date | YES | MUL | NULL | 
  agend_hour | time | YES |  | NULL | 
  agend_date | date | YES |  | NULL | 
  id_inventory | varchar(50) | YES | MUL | NULL | 

--- Tabla: file_document ---
  id | bigint | NO | PRI | NULL | 
  name | varchar(600) | YES |  | NULL | 
  comment | varchar(200) | YES |  | NULL | 
  expiration_date | timestamp | YES | MUL | NULL | 
  path_document | varchar(500) | YES |  | NULL | 
  enabled | tinyint | YES | MUL | 0 | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  last_user_update | bigint | YES |  | 0 | 
  id_last_user_update | bigint | YES | MUL | 0 | 
  id_file | bigint | YES | MUL | 0 | 
  id_validation | varchar(50) | YES |  | NULL | 
  id_document_type | bigint | YES | MUL | NULL | 
  id_current_status | int | YES | MUL | NULL | 
  id_document_error | int | YES | MUL | NULL | 
  server_path | varchar(50) | YES |  | NULL | 
  id_document_container | varchar(200) | YES |  | NULL | 

--- Tabla: file_exception_reason ---
  id | int | NO | PRI | NULL | 
  name | varchar(500) | YES |  | NULL | 
  id_type_reason | int | YES | MUL | NULL | 
  enabled | tinyint | YES |  | 1 | 
  registration_date | timestamp | YES |  | NULL | 
  update_date | timestamp | YES |  | NULL | 
  id_last_user_update | bigint | YES | MUL | 0 | 

--- Tabla: file_pld ---
  Id | bigint | NO | PRI | NULL | auto_increment
  IdFile | bigint | YES | UNI | NULL | 
  AvisoPrivacidadEntregado | tinyint(1) | YES | MUL | 0 | 
  AvisoPrivacidadFecha | datetime | YES |  | NULL | 
