id_file;pedido;id_agencia;agencia;id_client_file;id_estado;estado;proceso;proceso_habilitado;motivo;id_cliente_sugerido;nombre_cliente_sugerido;fuente_sugerencia;nota_nd
826;29754;1;HONDA GALERIAS;668;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
826;29754;1;HONDA GALERIAS;668;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1258;29762;1;HONDA GALERIAS;803;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1545;30033;1;HONDA GALERIAS;668;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1545;30033;1;HONDA GALERIAS;668;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
2343;31202;1;HONDA GALERIAS;1945;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
2470;31253;1;HONDA GALERIAS;2063;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
7434;32963;1;HONDA GALERIAS;5098;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
7834;33093;1;HONDA GALERIAS;6469;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
13109;34491;1;HONDA GALERIAS;4265;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
13821;34968;1;HONDA GALERIAS;2063;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16208;35219;1;HONDA GALERIAS;12989;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15168;35266;1;HONDA GALERIAS;6753;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16561;35356;1;HONDA GALERIAS;2808;4;Liberado;AUTOS SEMINUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16824;35408;1;HONDA GALERIAS;13430;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16139;35427;1;HONDA GALERIAS;13030;4;Liberado;AUTOS SEMINUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15876;35539;1;HONDA GALERIAS;12456;4;Liberado;AUTOS SEMINUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16350;35575;1;HONDA GALERIAS;13199;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
17170;35644;1;HONDA GALERIAS;4464;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16345;35685;1;HONDA GALERIAS;13208;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
17171;35721;1;HONDA GALERIAS;5098;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
17410;35753;1;HONDA GALERIAS;14217;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17414;35753;1;HONDA GALERIAS;14217;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17415;35753;1;HONDA GALERIAS;14217;1;Integración;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17475;35827;1;HONDA GALERIAS;14245;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17476;35827;1;HONDA GALERIAS;14245;1;Integración;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17399;35851;1;HONDA GALERIAS;14144;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);14035;CHRYSTHIAN HOMERO ACEVES PEREZ;otro_File_mismo_pedido;
17400;35851;1;HONDA GALERIAS;14144;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);14035;CHRYSTHIAN HOMERO ACEVES PEREZ;otro_File_mismo_pedido;
17401;35851;1;HONDA GALERIAS;14144;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);14035;CHRYSTHIAN HOMERO ACEVES PEREZ;otro_File_mismo_pedido;
17402;35851;1;HONDA GALERIAS;14144;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);14035;CHRYSTHIAN HOMERO ACEVES PEREZ;otro_File_mismo_pedido;
