# Reintentar unificaciones que fallaron (transacción). Formato: agencia|pedido
BMW|PV242530
BMW|PV242542
BMW|PV242592
BMW|PV242593
BMW|PV242601
BMW|PV242606
BMW|PV242612
BMW|PV242620
BMW|PV242623
BMW|PV242624
BMW|PV242625
BMW|PV242645
BMW|PV242646
BMW|PV242648
BMW|PV242653
BMW|PV242931
BMW|PV242935
BMW|PV243044
BMW|PV243090
BMW|PV243093
HONDA GALERIAS|29969
HONDA GALERIAS|35505
HONDA GALERIAS|35672
HONDA GALERIAS|35722
HONDA GALERIAS|35827
HONDA GALERIAS|35870
HONDA GONZALEZ GALLO|21093
HONDA GONZALEZ GALLO|21110
HONDA GONZALEZ GALLO|21178
KIA ALTARIA|19161
KIA ALTARIA|19235
KIA ALTARIA|19237
KIA ALTARIA|19243
KIA ALTARIA|19261
KIA ALTARIA|19268
KIA ALTARIA|19356
KIA ALTARIA|19759
